Protein	logFC	AveExpr	t	P.Value	adj.P.Val	B	status	Comparison	Gene
Q8CFZ5	-0.44	16.03	-1.3064980129963037	0.20596040765884868	0.498063951600866	-5.83	Not significant	Venom + Actn 15mg vs Venom	Slc22a12
O35206	0.84	19.07	1.2987712005229883	0.2085504418487947	0.5012534459951377	-5.84	Not significant	Venom + Actn 15mg vs Venom	Col15a1
P26040	0.35	19.9	1.2608098409400723	0.22164487207516553	0.5186241597687983	-5.85	Not significant	Venom + Actn 15mg vs Venom	Ezr
P18760	-0.78	17.25	-1.2817393598005262	0.2143490582871003	0.5105842736726434	-5.86	Not significant	Venom + Actn 15mg vs Venom	Cfl1
Q61096	-0.58	17.33	-1.2497742359216002	0.22556804119858376	0.5230417468176901	-5.86	Not significant	Venom + Actn 15mg vs Venom	Prtn3
P26443	0.72	16.13	1.2780162017342467	0.2156331341737441	0.5117263930391838	-5.86	Not significant	Venom + Actn 15mg vs Venom	Glud1
Q8VBT3	-1.09	17.33	-1.262344307651274	0.2211035529332131	0.5186241597687983	-5.87	Not significant	Venom + Actn 15mg vs Venom	Oscar
Q91VR2	0.56	16.93	1.2654753188199195	0.22000217592039437	0.5186241597687983	-5.88	Not significant	Venom + Actn 15mg vs Venom	Atp5f1c
P63038	0.7	16.04	1.2603663116252846	0.22180152744829107	0.5186241597687983	-5.89	Not significant	Venom + Actn 15mg vs Venom	Hspd1
O54990	0.52	17.59	1.2524862625289117	0.22459900589710993	0.5230417468176901	-5.9	Not significant	Venom + Actn 15mg vs Venom	Prom1
O35988	0.69	16.08	1.2407734283391594	0.22880712203845144	0.523458020203076	-5.9	Not significant	Venom + Actn 15mg vs Venom	Sdc4
Q8K1B9	-0.79	17.97	-1.2478866943340041	0.22624437103052464	0.5230417468176901	-5.9	Not significant	Venom + Actn 15mg vs Venom	Galnt18
P05202	0.45	16.22	1.243093198591208	0.22796892996352563	0.5234232471364705	-5.9	Not significant	Venom + Actn 15mg vs Venom	Got2
Q9DB34	0.39	18.11	1.245837505848647	0.2269803806944693	0.5230417468176901	-5.9	Not significant	Venom + Actn 15mg vs Venom	Chmp2a
Q64516	0.31	15.48	1.2265592718006693	0.2339946184099405	0.5296105954047052	-5.91	Not significant	Venom + Actn 15mg vs Venom	Gk
Q9ET22	-0.59	23.06	-1.234289484551546	0.23116244285808105	0.5264993730073912	-5.92	Not significant	Venom + Actn 15mg vs Venom	Dpp7
Q3TW96	-0.65	16.62	-1.2325644515784981	0.23179217679570685	0.5264993730073912	-5.92	Not significant	Venom + Actn 15mg vs Venom	Uap1l1
Q91X17	0.76	23.92	1.2173260764064662	0.23741200113050048	0.5354398323368734	-5.92	Not significant	Venom + Actn 15mg vs Venom	Umod
P97300	-0.62	20.59	-1.1866285403365948	0.24904619189192018	0.5577231621241593	-5.93	Not significant	Venom + Actn 15mg vs Venom	Nptn
P55849	-0.59	19.25	-1.1611271701656964	0.25903273767835316	0.5720306290396966	-5.95	Not significant	Venom + Actn 15mg vs Venom	Dsc1
P09242	-0.39	18.08	-1.1325118376517638	0.27059036942349696	0.583374491367268	-5.95	Not significant	Venom + Actn 15mg vs Venom	Alpl
P56480	0.72	21.5	1.1961864115922374	0.2453786941114831	0.5514517648583154	-5.96	Not significant	Venom + Actn 15mg vs Venom	Atp5f1b
O88307	0.39	17.19	1.1444741869397548	0.26571334270737407	0.5795006054995573	-5.97	Not significant	Venom + Actn 15mg vs Venom	Sorl1
O09131	0.6	16.58	1.1428724681056976	0.2663625637298468	0.5795006054995573	-5.97	Not significant	Venom + Actn 15mg vs Venom	Gsto1
P10852	0.53	16.74	1.0887557249422464	0.288990771379537	0.5909907736250338	-5.98	Not significant	Venom + Actn 15mg vs Venom	Slc3a2
Q9R013	0.73	17.29	1.1694831839807418	0.2557280789312594	0.5706773971939683	-5.99	Not significant	Venom + Actn 15mg vs Venom	Ctsf
P06797	0.48	22.02	1.167043353671115	0.2566897190570681	0.5708204941269067	-6	Not significant	Venom + Actn 15mg vs Venom	Ctsl
P21956	0.48	19.84	1.164756798796479	0.2575933943279751	0.5708341421344675	-6	Not significant	Venom + Actn 15mg vs Venom	Mfge8
P16675	-0.41	23.83	-1.1223720763405882	0.27477572465726113	0.5834411253317382	-6.01	Not significant	Venom + Actn 15mg vs Venom	Ctsa
Q9D1A2	-0.41	18.27	-1.1236943135664255	0.274227269330821	0.5834411253317382	-6.01	Not significant	Venom + Actn 15mg vs Venom	Cndp2
Q9WV91	-0.32	17.67	-1.0786214522184236	0.29337898591105704	0.5923461429823247	-6.01	Not significant	Venom + Actn 15mg vs Venom	Ptgfrn
O55188	0.67	16.79	1.1488625714467064	0.2639406112723503	0.5788490647214303	-6.01	Not significant	Venom + Actn 15mg vs Venom	Dmp1
Q9DBP5	-0.39	17.07	-1.1529737146443626	0.26228784331746985	0.577214769376854	-6.01	Not significant	Venom + Actn 15mg vs Venom	Cmpk1
P45952	0.64	18.29	1.1413735206338094	0.26697119089838095	0.5795006054995573	-6.02	Not significant	Venom + Actn 15mg vs Venom	Acadm
Q9ESB3	-0.77	17.46	-1.1206503465749291	0.27549109309294595	0.5834411253317382	-6.03	Not significant	Venom + Actn 15mg vs Venom	Hrg
P13597	-0.63	18.55	-1.1337853200112624	0.2700680555753227	0.583374491367268	-6.03	Not significant	Venom + Actn 15mg vs Venom	Icam1
Q60597	0.46	16.8	1.1192688721197572	0.2760660746257594	0.5834411253317382	-6.04	Not significant	Venom + Actn 15mg vs Venom	Ogdh
Q9ES30	-0.49	16.05	-1.0899092250233122	0.2884943258865663	0.5909907736250338	-6.05	Not significant	Venom + Actn 15mg vs Venom	C1qtnf3
P24638	0.3	19.18	0.9852185778938796	0.33608905046275583	0.6224462658077888	-6.05	Not significant	Venom + Actn 15mg vs Venom	Acp2
P17182	0.48	18.62	1.1191447301692643	0.2761177866253875	0.5834411253317382	-6.05	Not significant	Venom + Actn 15mg vs Venom	Eno1
P51655	0.34	20.38	1.118384941331979	0.2764344355033715	0.5834411253317382	-6.05	Not significant	Venom + Actn 15mg vs Venom	Gpc4
P62814	-0.51	17.95	-1.1069437270863525	0.2812348686242818	0.5834411253317382	-6.05	Not significant	Venom + Actn 15mg vs Venom	Atp6v1b2
O55135	-0.46	16.35	-1.113899503230849	0.2783092061265668	0.5834411253317382	-6.05	Not significant	Venom + Actn 15mg vs Venom	Eif6
P39061	-0.44	17.14	-1.0862334962262277	0.29007844783470804	0.591313759047674	-6.05	Not significant	Venom + Actn 15mg vs Venom	Col18a1
Q9DCX2	0.74	13.68	1.1091525816380654	0.28030338193103177	0.5834411253317382	-6.06	Not significant	Venom + Actn 15mg vs Venom	Atp5pd
Q64442	-0.6	16.28	-1.1090003769658752	0.28036749516218484	0.5834411253317382	-6.06	Not significant	Venom + Actn 15mg vs Venom	Sord
Q9D154	0.74	17.8	1.1080165769987957	0.28078215989357685	0.5834411253317382	-6.06	Not significant	Venom + Actn 15mg vs Venom	Serpinb1a
