"","Mix_A_REP_1","Mix_A_REP_2","Mix_A_REP_3","Mix_A_REP_4","Mix_A_REP_5","Mix_B_REP_1","Mix_B_REP_2","Mix_B_REP_3","Mix_B_REP_4","Mix_B_REP_5","Mix_C_REP_1","Mix_C_REP_2","Mix_C_REP_3","Mix_C_REP_4","Mix_C_REP_5"
"SKP1",25.6392157422634,26.1781961795917,26.3256075595751,26.2413214757348,26.2414073135644,24.5888467693856,24.5487809369713,24.668554090578,24.8088865724195,24.8827028864236,24.5193736831415,24.6563389333274,24.3036444095639,24.613057471663,24.7226939929147
"SKP2",23.7515557043824,23.773496213465,23.9287257349002,24.0110751134149,24.3086542024748,21.4575040006754,21.3870232343921,21.2841652481181,0.1,21.9084559347705,0.1,0.1,0.1,0.1,0.1
"SKT5",22.9143317506046,24.3102121792644,24.0373856641657,23.8970981785219,22.9266824624436,19.1516172331683,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"SKY1",24.1309272165648,24.5444405452933,24.5900102364176,24.2058162881897,24.9190159156771,22.617607023943,22.8014957283711,22.3070077282529,22.7164137124308,22.5411616210185,21.8414658761953,21.1347911857657,21.0976144034356,21.2310343628348,0.1
"SLA1",27.937716755459,28.1652538944041,28.3410772288172,28.1579144833249,28.3808600034831,25.9710249748641,26.1132876927164,25.9078756739515,25.9040122910132,26.0410152406756,25.045296110434,25.0241864015356,24.8461383067928,24.8755038165521,25.0362404071033
"SLA2",27.6560219644107,28.1572570317182,28.4714372017763,28.0486904143366,28.5621041653841,25.934395666397,26.0189275540096,25.8132902738029,25.8376814629531,25.9779978352019,24.8588191255353,24.8124762603501,24.7275893272483,24.8828163974591,24.9750340374643
"SLC1",26.509599260854,26.9661069815811,27.3036166194986,27.3859079493604,27.4812941731482,24.7724154133933,25.0067512232072,24.9059045458832,25.1874253624978,25.0696617151535,23.9420561700871,23.6298079431344,23.7026636174566,23.8052788268339,23.9616589094911
"SLF1",25.348219080187,25.7277302357017,25.9227928210619,27.1386805402957,26.0597285057949,24.452826333189,24.2658686029105,24.0809772863574,24.1459657975602,24.0636904060275,23.0495340088684,22.6969000510967,23.4448770083903,23.5869968816464,23.0432417715845
"SLG1",18.677566531579,18.3861816802786,19.220104319618,18.3478167930899,19.3870228398437,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"SLH1",24.1653197601954,24.038194528976,24.2347420890456,24.4396702964898,24.3769017747869,22.6059295575873,22.193539647768,22.5515053862008,21.8595097629676,22.2977559158826,21.4319720419395,0.1,0.1,0.1,0.1
"SLK19",25.3512389490831,25.5795231399873,25.7375443630614,26.027508871536,26.0171465505186,23.5007237386619,23.9206208125114,22.7967670439558,22.4665029474244,23.0204462550103,0.1,0.1,0.1,0.1,0.1
"SLM1",23.7848226243518,24.3612283827552,24.5891281494725,24.3330535713874,23.964880027501,20.7495097986141,20.6788062131118,21.0847425476692,20.7530452202662,21.2577775634361,0.1,0.1,0.1,0.1,0.1
"SLM4",23.9876592950285,24.3039336522436,24.6587044744735,24.5384920301002,24.7627802848649,22.9598029986607,22.9640268673301,22.9766098326925,23.0896284392707,23.0509818553709,21.9342290592362,21.9815553495579,21.8722133506779,21.8577999394095,21.8487619882302
"SLN1",21.063086114646,21.133870933376,21.3147349386367,21.1880105993267,21.6110549744488,19.3422674537642,0.1,18.5021491699196,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"SLT2",27.6568146822777,27.9573570654856,27.9700023859225,28.0594459692473,27.1278330054491,25.6023637353209,25.6205469741512,25.5895965467376,25.6779102807379,25.7341058461019,24.8225244930847,24.5419227376375,24.6719963871983,24.5430652831724,24.6553781335287
"SLU7",20.8361525685918,21.6689634096039,21.7553584793893,21.5652233161535,21.8652879244763,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"SLY1",24.8732629685758,25.1624128813537,25.3512698223093,25.8132531797178,25.5739504084364,23.3770146772178,23.5522102233821,23.6688765465276,23.5386087168251,23.6502945909215,22.5383497554342,22.4636437291655,22.2820916998224,22.4596228506704,22.2445981457858
"SMB1",25.4738403958342,25.6448865344256,25.632475339864,25.6999512311816,25.6933555335048,23.4307465492295,23.6427342616608,23.5413035595807,23.6604437176124,23.5165364801416,22.3802272013376,22.2123580433413,22.4186895680365,22.1800250751966,22.1297840578922
"SMC1",25.103347564579,25.4611790606358,25.6885082875599,25.8087649082329,25.9834294556311,23.3521051371668,22.8865249332148,22.9830192427067,23.3433445990734,23.43065034308,22.2924417029653,22.0242714258401,22.3596665958097,22.3737722870432,22.3853032936872
"SMC2",26.6642800759322,26.7418142402635,26.9869540182513,27.0904447389644,27.2336400174215,0.1,0.1,0.1,26.9206599819612,0.1,0.1,0.1,0.1,0.1,0.1
"SMC3",25.7122905494011,26.0660055890658,26.1686577545957,26.2395061922373,26.2881210559037,25.4551510052328,25.5520487383819,25.4497272807117,25.4926770630011,25.5217704599433,25.4844790204791,0.1,25.2855470298059,25.4308992984003,25.3879706613786
"SMC4",24.9043504930654,25.2369833852453,25.6314106937587,25.6006135101816,25.3635716404668,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"SMD1",26.7194340620745,27.2519972226798,27.7575880879885,27.6022806770971,27.9068721646834,25.0292417662178,24.7103783361564,24.4142384401186,24.3097946078001,24.0257641789466,23.7884010206256,23.4022527548862,23.393448854154,0.1,0.1
