"","Mix_A_REP_1","Mix_A_REP_2","Mix_A_REP_3","Mix_A_REP_4","Mix_A_REP_5","Mix_B_REP_1","Mix_B_REP_2","Mix_B_REP_3","Mix_B_REP_4","Mix_B_REP_5","Mix_C_REP_1","Mix_C_REP_2","Mix_C_REP_3","Mix_C_REP_4","Mix_C_REP_5"
"HUA1",4.6858887712242,4.67020923080463,4.6861410967622,4.72870241409799,4.69741207886874,4.57955402529522,4.61191224233376,4.58414830966664,4.5944518149738,4.60953611554029,4.51217564300951,4.52499833902299,4.46245888323789,4.51446606369066,4.50784822928147
"HUB1",4.60291586961165,4.62979630016292,4.64568009817442,4.65038416024765,4.66050239751139,4.56365364421903,4.56596284011618,4.55867452414735,4.56045515046249,4.56262868962323,4.47332688548689,4.48144570334957,4.47812827391546,4.49183657003437,4.49118415172473
"HUL5",4.51032518563978,4.49575137435218,4.51536070944876,4.52075543965387,4.52198804740883,4.36727297922224,4.390088305492,4.3342764269982,4.3782932935541,4.34673619875704,0.1,0.1,0.1,0.1,0.1
"HUS1",4.4427495968826,4.42849582357045,0.1,0.1,0.1,4.50051203363639,4.47432524150032,4.48843727565825,4.45428819171953,4.45690283059893,4.48051720204195,4.40234245764168,4.40583149065207,4.3956481305953,4.50619616487524
"HUWE1",4.79430901202521,4.78538150424366,4.81742348678083,4.80366843287495,4.80684993463294,4.79502917832626,4.79777793296312,4.79610251584962,4.79729011684205,4.79759263404293,4.79840429059711,4.79666845978542,4.79046638324086,4.7953585919951,4.79495905631289
"HXK1",4.96441181720535,4.98403767023659,4.99565475054125,4.99049582595004,4.99407993419602,4.87535987914088,4.8806585177188,4.88125029608618,4.8852182879255,4.88727056430449,4.83523103042547,4.83474190301353,4.83527946863099,4.83706985641573,4.8425583591632
"HXK2",4.96119819826667,4.9806384866126,4.98224885655652,4.9912252452597,4.98398924224508,4.89159376154734,4.89885883457212,4.89708624538127,4.90070188608934,4.90219442596128,4.85229373699827,4.8531940276376,4.84696018749179,4.8564198838703,4.85746121429774
"HXT2",4.82127747449586,4.82108657749052,4.85629311924978,4.82588134035808,4.82944918426728,4.71178561486569,4.71322998216369,4.71124378062017,4.71634241764071,4.71564710647409,4.65677957283214,4.64921222786212,4.6526239155103,4.65870815248005,4.64843047318102
"HXT3",4.82537685090747,4.81486374958943,4.777909049346,4.833384192791,4.78744534309609,4.70483791002754,4.70272760690925,4.70309975487117,4.70831916754748,4.70686248798742,4.63748520663006,4.64305164249918,4.63466472883464,4.63573625456511,4.64320517164187
"HXT4",4.55091295376578,4.65626060529914,4.58380934105863,4.58732205486827,4.60774620186548,4.49198404274991,4.50481268493742,4.50219430666835,4.49939611141942,4.48992737144949,4.42712803011901,4.45160561298607,4.4125512128484,0.1,0.1
"HXT5",4.80345979344202,4.83672440315948,4.8469899235808,4.85815835810067,4.85587471561327,4.67102734021234,4.67102154617247,4.67795355821286,4.68500856754202,4.68621838879037,4.6255080491182,4.62660399436336,4.61493210779491,4.61651937188571,4.62486036629877
"HXT6",4.73586718705323,4.84277076816675,4.85860856650796,4.86831103862636,4.78346881458737,4.69064497245439,4.68225831734043,4.67571714644927,4.68216087788499,4.68916187549054,4.63378475052206,4.6196088002698,4.63621977434658,4.62273024411538,4.61433144868172
"HXT7",4.80944858066636,4.9052834483248,4.91942108160723,4.8503727350365,4.8497489611666,4.79391940873047,4.79229707350046,4.79058537072813,4.79575344762551,4.79084602437982,4.74068038060063,4.73274489303215,4.73013930035292,4.73297790042295,4.73640882192479
"HYOU1",4.77619262410478,4.75988937281783,4.75390220222087,4.77651006032871,4.76094520148575,4.76759742905121,4.7738293638103,4.77328301352172,4.7680293109929,4.77083337373555,4.77114101228669,4.77113077968003,4.76832879692669,4.77399061821324,4.77188037284495
"HYP2",5.00371497224983,5.01187025155679,4.98550155288674,5.03850892088021,4.99168771745763,4.91647562025715,4.91587644530281,4.92082373814548,4.9242542379285,4.91508847242577,4.87634182290763,4.87700911941948,4.87403181595975,4.86939068553491,4.87943278951518
"HYPK",4.63883696960532,4.64240290923057,4.66000901298935,4.67480482753745,4.68011606338456,4.58433231949486,4.59356210022192,4.58034341138892,4.59070216699927,4.58492043899022,4.59342759408427,4.57912235300727,4.56706975260667,4.58619233194618,4.58834428829517
"HYR1",4.80751249706401,4.74817715377042,4.73955954561473,4.77066271994502,4.77439466043565,4.64283899565262,4.67878119738153,4.68480845913638,4.67835315042186,4.69017358846177,4.61916673518007,4.62101845162171,4.61064088632346,4.59616115586434,4.61598904597611
"IAH1",4.7591760983601,4.70022098479372,4.71069617826732,4.72262183886197,4.72161396415676,4.61395085720292,4.62999511337863,4.62736061155085,4.62035318054681,4.62713001065226,4.54977949065612,4.56203435098758,4.54263756664047,4.54441061652564,4.56124461901605
"IARS1",4.77753537089346,4.7731457068256,4.77819116585039,4.78175273402721,4.78944654327665,4.78975681062427,4.79357778604071,4.79544245703778,4.79568654719412,4.79822589991392,4.79354253203492,4.79407287622769,4.78968882113337,4.79526712147396,4.79623163560408
"IARS2",4.6394033422739,4.66785556437781,4.65328237925263,4.69605662173677,4.65587286025688,4.66722823369006,4.67192643932102,4.66503937809097,4.66861099605291,4.65980305579863,4.66606968190138,4.66917063839002,4.65939082722192,4.67092035023084,4.66853525250372
"IBA57",4.41139776967589,4.4481528151735,4.46428124773743,4.47062627249501,4.46284957007146,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
